PCardID,PName,Sex,Age
110101193412052028,李玉兰              ,0,86
110101194701201338,张继川              ,1,73
110101196306222947,周志颖              ,0,57
110101198304063574,谌祖安              ,1,37
11010119840210363X,赵月松              ,1,36
110101198605170453,邱丽绵              ,1,34
110101199001021574,张正勇              ,1,30
110101200004054254,马岳                ,1,20
110101200504220677,王连重              ,1,15
110101201105182137,李浩文              ,1,9
110102193109103597,毛鑫                ,1,89
110102193801262359,王小范              ,1,82
110102193811074116,谢爱勇              ,1,82
110102194707193435,朱明山              ,1,73
110102197003022332,胡冬松              ,1,50
110102197108130057,付强大              ,1,49
11010219900601111X,翁天洋              ,1,30
110102201307090958,张兆钢              ,1,7
110105193207134898,郑文坚              ,1,88
110105194502200071,邹巍                ,1,75
11010519470926382X,沈洁薇              ,0,73
110105196603110779,陈仁兴              ,1,54
110105199910133114,刘丹星              ,1,21
110105200604134974,侯保兵              ,1,14
110105201102282234,侯中先              ,1,9
11010520110602032X,莫梦莹              ,0,9
110105201301030152,卢川                ,1,7
110106193605112332,彭翼捷              ,1,84
110106193703042091,郑建华              ,1,83
110106194312312933,郭宇                ,1,77
110106194505111353,王晓辉              ,1,75
110106196203221812,刘珩                ,1,58
110106197107214019,董常志              ,1,49
110106197601202670,金志华              ,1,44
110106199812150857,郑利武              ,1,22
110106200707110744,胡晨霞              ,0,13
11010719540518269X,孙昊                ,1,66
110107198507240946,许爱平              ,0,35
110107201106291544,吴冬玲              ,0,9
110107201701082691,齐孙毅              ,1,3
110108195112173294,黄文忠              ,1,69
110108196809133131,刘书军              ,1,52
110108197504142111,王渊荣              ,1,45
110108201109211024,王慧                ,0,9
110108201709251695,鲁兵                ,1,3
110109194903161232,刘家佳              ,1,71
110109196508260440,冯琼玲              ,0,55
110109199408054811,刘海涛              ,1,26
11010919981004040X,于传香              ,0,22
110109201702130539,王建                ,1,3
110111195307274886,郑倩                ,0,67
110111196706302818,王明存              ,1,53
110111197501172022,游群芳              ,0,45
11011119880302269X,黄睿                ,1,32
110111200807240635,杜朝贵              ,1,12
110112193008052746,沈丹萍              ,0,90
110112193201260483,祁彩虹              ,0,88
110112194004122676,韩远迎              ,1,80
110112194507080930,王筱明              ,1,75
110112196407174445,吴晓茹              ,0,56
110112198604200031,李庆明              ,1,34
110112199008060022,喻文婷              ,0,30
110112199404200488,濮志平              ,0,26
11011219950121155X,盛建明              ,1,25
11011219970301102X,王维吉              ,0,23
110113194810303101,陆俐倩              ,0,72
110113195704053836,麦北其              ,1,63
110113196305312356,钟练文              ,1,57
110113196806081007,廖红兰              ,0,52
110113201112020051,程新                ,1,9
110114194702221295,王延海              ,1,73
110114194806141062,李桂红              ,0,72
110114194811232639,王金伟              ,1,72
110114195202010533,邓汉源              ,1,68
110114195202272656,郭亮                ,1,68
110114199510260452,邢进义              ,1,25
11011519490528310X,张亚敏              ,0,71
110115195207104594,柯三雄              ,1,68
110115196011121768,丁琳                ,0,60
110115196703063431,官勇                ,1,53
110115201501182057,金琪                ,1,5
110116194502121313,赖姝羽              ,1,75
110116194904192317,庄亚强              ,1,71
110116195404194847,肖巧玲              ,0,66
110116196903063088,邓兰珍              ,0,51
110116198201073635,陈灿桥              ,1,38
11011619880513219X,李春泉              ,1,32
11011619970630398X,孙元蕾              ,0,23
110116199803052238,梁成磊              ,1,22
110116199901233008,施润燕              ,0,21
110116200611161048,赵秋枫              ,0,14
110117193007143357,白晓林              ,1,90
110117195004292655,邱梦瑜              ,1,70
110117195712102162,钟永芳              ,0,63
110117197308084897,杨国才              ,1,47
110117199310304894,刘振东              ,1,27
110117199409114046,位娜                ,0,26
110117199710113800,阙建平              ,0,23
11011720100108033X,李泽盛              ,1,10
110118194001290197,谭青云              ,1,80
110118196411151711,吴俊清              ,1,56
110118200308211455,吴华伟              ,1,17
110118200707113828,衡永芳              ,0,13
110118201412113833,朱淑玉              ,1,6
110119193009013575,谭均强              ,1,90
110119199302132773,谢强                ,1,27
110119201309060549,闫凤莉              ,0,7
110119201602020204,王文英              ,0,4
120101193403014056,陈红玉              ,1,86
120101196104100898,范水才              ,1,59
12010119621124319X,杨左健              ,1,58
12010119670218477X,李梦晗              ,1,53
120101196809014818,舒小勇              ,1,52
120101197104244458,贺军文              ,1,49
12010119781113352X,李伟颖              ,0,42
120102193204082845,杨英                ,0,88
120102193406264903,薛红霞              ,0,86
120102193607183528,王杏梅              ,0,84
120102194206154712,戴程程              ,1,78
120102194705131822,郑风莲              ,0,73
120102195109042326,沈艳琼              ,0,69
120102195301143071,苏先义              ,1,67
120102195611181516,颜进                ,1,64
120102195707284245,彭汝珍              ,0,63
120102196705110932,吴茂林              ,1,53
120103194103272958,芦成林              ,1,79
120103194608033557,田先斌              ,1,74
120103196703142574,金吉强              ,1,53
120103196710011732,周聪跃              ,1,53
120103197311083688,黄静芬              ,0,47
12010319750521069X,何锡荣              ,1,45
